dataset,point_index,x,y,yerr,x_label,y_label,notes
80 g/m2 paper-only estimate,17,85.0,8.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,18,90.0,9.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,19,95.0,9.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,20,100.0,10.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 measured stack height,0,0.0,0.01,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,1,5.0,0.82,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,2,10.0,1.66,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,3,15.0,2.48,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,4,20.0,3.33,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,5,25.0,4.11,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,6,30.0,4.94,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,7,35.0,5.78,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,8,40.0,6.63,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,9,45.0,7.39,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,10,50.0,8.3,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,11,55.0,9.1,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,12,60.0,9.96,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,13,65.0,10.8,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,14,70.0,11.61,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,15,75.0,12.46,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,16,80.0,13.28,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,17,85.0,14.04,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 measured stack height,18,90.0,14.82,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 120 g/m2 paper.
120 g/m2 paper-only estimate,0,0.0,0.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,1,5.0,0.75,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,2,10.0,1.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,3,15.0,2.25,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,4,20.0,3.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,5,25.0,3.75,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,6,30.0,4.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,7,35.0,5.25,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,8,40.0,6.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,9,45.0,6.75,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,10,50.0,7.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,11,55.0,8.25,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,12,60.0,9.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,13,65.0,9.75,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,14,70.0,10.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,15,75.0,11.25,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,16,80.0,12.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,17,85.0,12.75,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
120 g/m2 paper-only estimate,18,90.0,13.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
