dataset,point_index,x,y,yerr,x_label,y_label,notes
40 g/m2 paper,16,20.0,0.378508686072717,0.0025062893586056782,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
40 g/m2 paper,17,21.25,0.3606204179530013,0.008910982632975682,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
40 g/m2 paper,18,22.5,0.3736842926790997,0.004442376358013941,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
40 g/m2 paper,19,25.0,0.3725552275328359,0.0025336670724282126,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,0,0.0,0.7060930550644403,0.0018777566481771723,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,1,0.1,0.6542112551073949,0.002935533020593518,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,2,0.5,0.5155522419369266,0.0023172859143521765,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,3,1.0,0.4975442011122946,0.0015353443817519273,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,4,2.0,0.556553076447739,0.0016009567087035632,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,5,3.0,0.6172141374659779,0.0008320106186750595,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,6,4.0,0.6505680139931066,0.0007350862873678931,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,7,5.0,0.6681004882702083,0.0011648542504896458,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,8,7.5,0.6627762256621405,0.00393140855985172,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,9,10.0,0.635132511807631,0.0022549487461075188,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,10,15.0,0.5294622929740482,0.0007325945350954988,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,11,20.0,0.4328673419746729,0.002617056057058017,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,12,25.0,0.36585774880752275,0.009152384977210513,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
80 g/m2 paper,13,30.0,0.3823824739561484,0.006883567906359642,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,0,0.0,0.7074668002161975,0.002838917056044878,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,1,0.15,0.6093683130130012,0.0012816675093099265,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,2,0.44999999999999996,0.5000486401458023,0.002063910155556746,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,3,0.75,0.49154197634001295,0.0026558388292180603,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,4,1.05,0.5055072255110191,0.0016535821488859188,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,5,1.5,0.5421957212030453,0.002293777588643098,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,6,2.25,0.5563889017937045,0.0023345687959800705,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,7,3.0,0.5872751103034165,0.0018196011924519295,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,8,4.5,0.6304881842961565,0.0031644413689492614,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,9,6.0,0.6516200186963301,0.003443463073524852,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,10,7.5,0.650877190209676,0.0015725399767706285,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,11,11.25,0.6503085485891534,0.003513389022505652,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,12,15.0,0.6113611977371203,0.004331953202542777,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,13,18.75,0.5550481046744611,0.002768943629112405,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,14,22.5,0.5196975030545541,0.00458946003625472,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,15,30.0,0.4420607171354248,0.005781111017863698,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,16,37.5,0.43992292491940344,0.0027927245764203176,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,17,45.0,0.4097043584760895,0.004145201552996853,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,18,52.5,0.36648813297328797,0.0020184484537442257,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,19,60.0,0.3354049668368163,0.0019885204869597717,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,20,67.5,0.3516586766551413,0.0017524156296221743,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
120 g/m2 paper,21,75.0,0.3541950672345157,0.005377954715516791,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,0,0.0,0.699421704761051,0.0034413662322567793,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,1,0.15,0.6485961104425502,0.000412527434958898,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
