dataset,point_index,x,y,yerr,x_label,y_label,notes
120 g/m2 paper,2,3.0,0.5000486401458023,0.002063910155556746,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,3,5.0,0.49154197634001295,0.0026558388292180603,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,4,7.0,0.5055072255110191,0.0016535821488859188,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,5,10.0,0.5421957212030453,0.002293777588643098,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,6,15.0,0.5563889017937045,0.0023345687959800705,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,7,20.0,0.5872751103034165,0.0018196011924519295,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,8,30.0,0.6304881842961565,0.0031644413689492614,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,9,40.0,0.6516200186963301,0.003443463073524852,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,10,50.0,0.650877190209676,0.0015725399767706285,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,11,75.0,0.6503085485891534,0.003513389022505652,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,12,100.0,0.6113611977371203,0.004331953202542777,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,13,125.0,0.5550481046744611,0.002768943629112405,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,14,150.0,0.5196975030545541,0.00458946003625472,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,15,200.0,0.4420607171354248,0.005781111017863698,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,16,250.0,0.43992292491940344,0.0027927245764203176,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,17,300.0,0.4097043584760895,0.004145201552996853,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,18,350.0,0.36648813297328797,0.0020184484537442257,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,19,400.0,0.3354049668368163,0.0019885204869597717,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,20,450.0,0.3516586766551413,0.0017524156296221743,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
120 g/m2 paper,21,500.0,0.3541950672345157,0.005377954715516791,Number of paper layers,Coefficient of restitution,Final averaged COR data for 120 g/m2 paper.
160 g/m2 paper,0,0.0,0.699421704761051,0.0034413662322567793,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,1,1.0,0.6485961104425502,0.000412527434958898,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,2,5.0,0.6090467843054757,0.000885398346520991,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,3,10.0,0.6484004100675963,0.003891458326524133,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,4,15.0,0.6728356034199269,0.0017747438336430698,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,5,20.0,0.6646110656706185,0.004108109599665474,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,6,50.0,0.618348965308578,0.010744766559504378,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,7,100.0,0.5153801776278991,0.0011167085065451493,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,8,150.0,0.3632208869502867,0.014447522824191986,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,9,200.0,0.26061062682345204,0.0036571524359377034,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,10,250.0,0.28085571964719475,0.003539003607466088,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,11,300.0,0.2886025976861421,0.012009633340109594,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,12,400.0,0.35232104243377677,0.005072320268754336,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
160 g/m2 paper,13,500.0,0.3480654369685016,0.004516677539467982,Number of paper layers,Coefficient of restitution,Final averaged COR data for 160 g/m2 paper.
250 g/m2 paper,0,0.0,0.7141294191617702,0.0012925374138493774,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,1,1.0,0.6623987316423222,0.0055708632941295355,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,2,2.0,0.6441248072930887,0.002128186739444896,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,3,3.0,0.6451754845606281,0.0023362501022897494,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,4,4.0,0.6467171861167719,0.0016107895194780561,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,5,5.0,0.6496656457592129,0.0009546848949534968,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,6,6.0,0.6577700841231867,0.0005166036571434243,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,7,8.0,0.6701067863683752,0.0006008544663638643,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,8,10.0,0.6824546362591126,0.0010559211631283156,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,9,12.0,0.6898351209092011,0.001023974940902144,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,10,16.0,0.7010671697270738,0.000535251767411251,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,11,20.0,0.7024207215780809,0.0010608423406475683,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,12,25.0,0.685687297718875,0.0071346426358520785,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,13,33.0,0.7062524707346987,0.0011618168763020994,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,14,40.0,0.6988149526331546,0.002040697177695499,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,15,50.0,0.6829828463741222,0.0011440565703682145,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
250 g/m2 paper,16,60.0,0.654792102525722,0.0007282810540688527,Number of paper layers,Coefficient of restitution,Final averaged COR data for 250 g/m2 paper.
