dataset,point_index,x,y,yerr,x_label,y_label,notes
100 paper layers,0,2.0,0.4885432907216605,0.004654962006624069,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,1,3.0,0.5150815267522574,0.0026944030685551235,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,2,4.0,0.5261885921926779,0.005665224860237461,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,3,5.0,0.5491438682782496,0.003622178007909147,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,4,6.0,0.564887086060155,0.001758261821990517,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,5,7.0,0.5643721895794777,0.0065413553640134205,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,6,8.0,0.5759883422447151,0.004021664507027211,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,7,9.0,0.5985197615210035,0.0025433126277001742,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,8,10.0,0.6082413331732327,0.0032674604926377594,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,9,11.0,0.6137462878488759,0.0017957119138430873,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,10,12.0,0.6172912901782562,0.0018333116411737781,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,11,13.0,0.6183186836926509,0.002314111616204121,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,12,14.0,0.622049452462842,0.0022424549777489543,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
100 paper layers,13,15.0,0.6253162890990032,0.002873161935800746,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 100 paper layers.
300 paper layers,0,2.0,0.3121039284240652,0.007881106770715293,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,1,3.0,0.32284388344171894,0.0037735672718948042,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,2,4.0,0.3051833211186843,0.0012097879565413727,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,3,5.0,0.30867092421939907,0.0028933891638653485,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,4,6.0,0.2976224072347106,0.002312396000712054,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,5,7.0,0.2972023997876164,0.006047944827182217,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,6,8.0,0.30563240889670573,0.01756074867311047,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,7,9.0,0.27981192974783736,0.0037294916100008456,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,8,10.0,0.28937842624181404,0.0017514026960364644,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,9,11.0,0.3298042830484615,0.009457838612639763,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,10,12.0,0.3664671654656708,0.0019076944896794512,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,11,13.0,0.38996604733984097,0.012809051061170808,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,12,14.0,0.45055732887873995,0.002225129959933659,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
300 paper layers,13,15.0,0.45848821730077,0.0019697448595631566,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 300 paper layers.
