 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
285,0,17,17,17,141,664,141,664,284
286,0,17,17,17,141,663,141,663,285
287,0,17,17,17,139,663,139,663,286
288,0,17,17,17,140,664,140,664,287
289,0,17,17,17,138,664,138,664,288
290,0,17,17,17,138,663,138,663,289
291,0,17,17,17,139,664,139,664,290
292,0,18,18,18,137,663,137,663,291
293,0,17,17,17,140,665,140,665,292
294,0,17,17,17,139,664,139,664,293
295,0,16,16,16,135,663,135,663,294
296,0,17,17,17,138,664,138,664,295
297,0,18,18,18,137,667,137,667,296
298,0,17,17,17,137,664,137,664,297
299,0,17,17,17,138,664,138,664,298
300,0,18,18,18,136,662,136,662,299
301,0,16,16,16,135,666,135,666,300
302,0,17,17,17,136,666,136,666,301
303,0,18,18,18,136,664,136,664,302
304,0,16,16,16,135,663,135,663,303
305,0,16,16,16,134,663,134,663,304
306,0,15,15,15,134,664,134,664,305
307,0,17,17,17,135,666,135,666,306
308,0,16,16,16,132,665,132,665,307
309,0,16,16,16,135,666,135,666,308
310,0,16,16,16,133,666,133,666,309
311,0,17,17,17,134,666,134,666,310
312,0,17,17,17,133,666,133,666,311
313,0,16,16,16,132,666,132,666,312
314,0,17,17,17,132,664,132,664,313
315,0,17,17,17,132,665,132,665,314
316,0,16,16,16,131,666,131,666,315
317,0,17,17,17,132,666,132,666,316
318,0,16,16,16,131,666,131,666,317
319,0,17,17,17,133,667,133,667,318
320,0,16,16,16,130,666,130,666,319
321,0,16,16,16,131,666,131,666,320
322,0,16,16,16,129,666,129,666,321
323,0,16,16,16,132,667,132,667,322
324,0,16,16,16,130,664,130,664,323
325,0,17,17,17,129,666,129,666,324
326,0,18,18,18,131,668,131,668,325
327,0,16,16,16,129,666,129,666,326
328,0,17,17,17,128,666,128,666,327
329,0,17,17,17,129,666,129,666,328
330,0,17,17,17,129,665,129,665,329
