Frame,Y
1,565.532013
2,564.728027
3,564.728027
4,564.728027
5,564.728027
6,564.728027
7,564.728027
8,564.728027
9,564.728027
10,564.728027
11,564.728027
12,564.728027
13,564.728027
14,564.728027
15,564.728027
16,564.728027
17,564.728027
18,564.728027
19,564.728027
20,564.728027
21,564.728027
22,564.728027
23,564.728027
24,564.728027
25,564.728027
26,564.728027
27,564.728027
28,564.728027
29,564.728027
30,564.728027
31,564.728027
32,564.728027
33,564.728027
34,564.728027
35,564.728027
36,564.728027
37,564.728027
38,564.728027
39,564.728027
40,564.895019
41,564.728027
42,564.728027
43,564.728027
44,564.728027
45,564.728027
46,564.728027
47,564.728027
48,564.728027
49,564.728027
50,564.728027
51,564.728027
52,564.728027
53,564.728027
54,564.728027
55,564.728027
56,564.895019
57,564.728027
58,564.728027
59,564.728027
60,564.728027
61,564.895019
62,564.895019
63,564.728027
64,564.728027
65,564.895019
66,564.728027
67,564.728027
68,564.895019
69,564.895019
70,564.728027
71,564.728027
72,564.728027
73,564.895019
74,564.728027
75,564.728027
76,564.895019
77,565.061035
78,565.061035
79,565.061035
80,564.895019
81,565.061035
82,565.061035
83,565.061035
84,565.061035
85,565.061035
86,565.061035
87,565.061035
88,565.061035
89,565.061035
90,565.061035
91,564.978027
92,564.978027
93,565.228027
94,565.228027
95,565.228027
96,565.228027
97,564.978027
98,564.978027
99,564.978027
100,564.978027
101,564.978027
102,564.978027
103,564.978027
104,564.978027
105,564.978027
106,565.061035
107,565.061035
108,564.895019
109,564.895019
110,564.728027
111,564.728027
112,564.728027
113,564.561035
114,564.561035
115,564.561035
116,564.228027
117,563.395019
118,563.061035
119,562.728027
120,562.728027
121,562.728027
122,562.728027
123,562.728027
124,562.561035
125,562.395019
126,562.061035
127,561.228027
128,561.061035
129,560.561035
130,560.228027
131,559.728027
132,558.895019
133,558.478027
134,557.728027
135,556.728027
136,555.978027
137,554.728027
138,553.728027
139,552.228027
140,551.228027
141,549.728027
142,547.978027
143,546.728027
144,544.895019
145,542.895019
146,540.895019
147,538.895019
148,536.728027
149,534.728027
150,532.728027
151,530.478027
152,528.478027
153,525.978027
154,523.228027
155,520.895019
156,517.978027
157,514.978027
158,512.395019
159,508.895019
160,506.395019
161,502.728027
162,499.728027
163,496.395019
164,492.978027
165,489.228027
166,485.478027
167,482.478027
168,478.561035
169,474.617035
170,470.507019
171,466.357025
172,462.395019
173,457.895019
174,453.395019
175,449.395019
176,444.728027
177,440.061035
178,435.395019
179,430.561035
180,425.728027
181,420.799041
182,415.743042
183,410.728027
184,405.550018
185,399.895019
186,394.561035
187,389.395019
188,383.728027
189,377.728027
190,371.895019
191,366.228027
192,360.05902100000003
193,354.08300699999995
194,348.06103499999995
195,342.02301
196,335.728027
197,329.55004799999995
198,323.28100600000005
199,316.10003600000005
200,309.71301200000005
201,303.06103499999995
202,295.728027
203,289.39501900000005
204,282.06103499999995
205,275.228027
206,268.005005
207,260.507019
208,253.39001399999995
209,245.728027
210,237.92004399999996
211,230.46002199999998
212,222.728027
213,214.882019
214,206.99505599999998
215,198.99304199999995
216,190.876037
217,182.56103499999995
218,174.57501200000002
219,165.94305399999996
220,157.728027
221,148.962036
222,140.507019
223,131.678039
224,122.86199899999997
225,113.73602300000005
226,105.07702600000005
227,95.73602300000005
228,87.07604900000001
229,77.18102999999996
230,67.99401799999998
231,58.541015000000016
232,48.83502199999998
233,39.31500200000005
234,29.35400400000003
235,20.21002199999998
236,10.395019000000048
237,2.7280269999999973
238,9.954039999999964
239,16.611023000000046
240,23.264038000000028
241,30.079039999999964
242,37.077026000000046
243,43.08703600000001
244,49.728027
245,55.736023000000046
246,62.18804899999998
247,68.228027
248,74.20104900000001
249,80.20104900000001
250,85.89001399999995
251,91.728027
252,97.728027
253,103.228027
254,108.67504799999995
255,114.331054
256,119.62805100000003
257,124.71405000000004
258,129.95800699999995
259,135.03405699999996
260,139.678039
261,144.751037
262,149.52703799999995
263,154.09503099999995
264,159.03405699999996
265,163.53601000000003
266,167.751037
267,171.751037
268,176.46301200000005
269,180.71502699999996
270,184.71502699999996
271,188.67504799999995
272,192.40203799999995
273,196.360046
274,199.99700900000005
275,203.77301
276,207.25
277,210.57800299999997
278,213.91302499999995
279,217.48205499999995
280,220.26605199999995
281,223.69500700000003
282,226.57702600000005
283,229.53601000000003
284,232.16601500000002
285,235.353027
286,237.70403999999996
287,240.06604000000004
288,242.865051
