Frame	X1	Y1	Flag1	X2	Y2	Flag2
Tracks 1 to 2
1	103.68433	303.0315	 	 	 	 
2	103.41324	303.2519	 	 	 	 
3	103.13473	303.2545	 	 	 	 
4	103.06449	303.4317	 	 	 	 
5	103.376564	303.7375	 	 	 	 
6	103.440094	303.83948	 	 	 	 
7	102.99624	303.80075	 	 	 	 
8	103.17964	303.99402	 	 	 	 
9	102.87628	304.16617	 	 	 	 
10	103.05738	304.84128	 	 	 	 
11	103.104195	305.36957	 	 	 	 
12	103.14099	306.0407	 	 	 	 
13	103.135445	307.1369	 	 	 	 
14	102.92736	308.04724	 	 	 	 
15	103.04938	309.28302	 	 	 	 
16	103.311844	310.64606	 	 	 	 
17	103.20481	312.20352	 	 	 	 
18	107.61373	324.62445	*	96.12712	297.24576	 
19	107.504456	328.0902	*	94.996574	296.53082	 
20	107.595985	331.70535	*	95.141846	296.59573	 
21	107.60667	335.6089	*	94.611916	296.33392	 
22	107.46575	339.92694	*	95.356064	296.26514	 
23	107.495415	344.63303	*	94.507355	296.16177	 
24	107.4817	349.3604	 	94.664795	296.05432	 
25	107.48387	354.52536	 	95.40146	296.13138	 
26	107.393616	359.90662	 	95.402725	296.26654	 
27	107.385445	365.6623	 	94.578125	296.04688	 
28	107.300476	371.652	 	94.67037	295.82962	 
29	107.34123	377.93127	 	94.97653	296.12454	 
30	107.38264	384.53668	 	95.11255	296.40405	 
31	107.17317	391.41708	 	95.97331	296.43237	 
32	107.209595	398.62122	 	93.504036	295.94757	 
33	107.19895	406.19894	 	94.765625	296.41406	 
34	107.060524	414.04736	 	94.805756	296.44604	 
35	107.06728	422.1781	 	95.75614	296.60876	 
36	107.06948	430.40735	 	94.87143	296.65714	 
37	107.03458	439.125	 	96.07295	297.0338	 
38	107.0027	448.1865	 	95.545135	296.9757	 
39	106.972	457.26532	 	95.71405	297.0719	 
40	106.90162	466.94473	 	95.36242	297.3188	 
41	106.86713	476.74658	 	94.98754	297.2509	 
42	106.770424	486.8493	 	95.21528	297.63196	 
43	106.59143	497.3	 	95.1431	297.39224	 
44	106.704025	508.16092	 	95.18841	297.52173	 
45	106.659424	519.1174	 	94.85714	297.55	 
46	106.68551	530.37244	 	93.992905	297.3475	 
47	106.56907	541.92645	 	94.76277	297.8832	 
48	106.562874	553.7485	 	95.27256	298.09207	 
49	106.35928	565.8473	 	95.13773	298.417	 
50	106.33082	578.33685	 	94.743546	298.29337	 
51	106.41358	590.96606	 	95.60949	298.48904	 
52	106.28378	604.0616	 	95.50361	298.33755	 
53	106.29678	614.0855	 	95.595055	298.56082	 
54	106.17416	607.9809	 	95.083336	298.20834	 
55	106.04023	601.19885	 	94.063705	298.40347	 
56	105.98268	595.0566	 	95.49635	298.6533	 
