Frame	X1	Y1	Flag1	X2	Y2	Flag2
Tracks 1 to 2
1	86.27469	413.80554	 	 	 	 
2	86.04962	413.60687	 	 	 	 
3	86.05247	413.62656	 	 	 	 
4	85.769	413.45746	 	 	 	 
5	85.876724	413.64548	 	 	 	 
6	85.78927	413.76126	 	 	 	 
7	85.78571	413.65503	 	 	 	 
8	86.03893	413.88626	 	 	 	 
9	85.67492	414.10837	 	 	 	 
10	85.569016	414.32516	 	 	 	 
11	85.378235	414.59436	 	 	 	 
12	85.29412	415.0387	 	 	 	 
13	84.99311	415.53217	 	 	 	 
14	85.1851	416.649	 	 	 	 
15	84.86432	417.47452	 	 	 	 
16	85.292755	418.67245	 	 	 	 
17	85.4221	420.12607	 	 	 	 
18	85.38721	421.66644	 	 	 	 
19	90.3178	432.12732	*	73.9093	404.73254	 
20	90.285866	435.33783	*	72.12745	403.69608	 
21	90.20894	438.81808	*	70.57937	402.82275	 
22	90.11229	442.48306	*	70.824875	402.74365	 
23	90.0032	446.44244	*	71.52041	402.88266	 
24	89.91756	450.7013	*	70.40356	402.368	 
25	89.83479	455.44528	 	70.57854	402.3377	 
26	89.77352	460.3315	 	69.902115	401.81216	 
27	89.64317	465.35904	 	70.64872	402.01794	 
28	89.6766	470.69205	 	72.09794	402.32474	 
29	89.56459	476.53787	 	71.332436	402.26218	 
30	89.57366	482.58258	 	70.86493	401.58057	 
31	89.27523	489.05505	 	69.5221	401.33978	 
32	89.31406	495.74265	 	70.81746	401.70636	 
33	89.130486	502.61548	 	70.01381	401.39502	 
34	89.087555	509.9009	 	70.878235	401.70724	 
35	88.95496	517.276	 	71.90206	401.9742	 
36	88.886795	525.05426	 	71.87113	401.9433	 
37	88.81265	533.1683	 	71.085106	401.82977	 
38	88.61751	541.548	 	70.02941	401.3289	 
39	88.64664	550.3726	 	71.383835	401.65152	 
40	88.54902	559.1863	 	69.90323	401.25806	 
41	88.52211	568.41156	 	71.829895	402.00516	 
42	88.28484	578.01587	 	71.47938	402.04123	 
43	88.174934	587.70844	 	71.53297	402.1758	 
44	88.11	597.84	 	72.06701	402.38144	 
45	88.041664	608.37256	 	70.99162	402.19275	 
46	87.853966	612.7321	 	71.77979	402.5	 
47	87.568184	606.77893	 	71.65707	402.51572	 
48	87.16457	601.47485	 	70.407104	402.12842	 
49	86.94606	596.8382	 	70.56842	402.29474	 
50	86.66149	592.31573	 	71.70197	402.71674	 
51	86.358925	588.0602	 	71.7398	402.69388	 
52	86.15424	584.17084	 	70.21579	402.30527	 
53	86.02371	580.566	 	75.23585	402.96225	 
54	85.52268	577.2196	 	68.95763	401.7034	 
55	85.255554	574.3626	 	68.90331	402.0083	 
56	84.84292	571.8552	 	69.32873	402.5	 
57	84.5387	569.3941	 	69.48895	402.60498	 
58	84.30483	567.25854	 	70.74623	403.0025	 
59	83.95984	565.4337	 	69.320656	402.6087	 
60	83.64694	563.90405	 	70.19355	402.94086	 
61	83.47787	562.5644	 	69.445656	402.55435	 
62	83.08452	561.5754	 	70.88421	403.14737	 
63	82.7831	560.91345	 	69.28286	402.59143	 
64	82.55071	560.67645	 	71.591835	403.35715	 
65	82.18016	560.585	 	70.950264	403.3691	 
66	82.009125	560.95233	 	71.34924	403.4648	 
67	81.56869	561.58685	 	71.13731	403.48962	 
68	81.32164	562.37177	 	70.37369	403.07895	 
69	80.9065	563.5142	 	69.649734	403.0508	 
70	80.611786	564.86584	 	69.69689	402.7021	 
71	80.41376	566.5534	 	69.73913	402.99457	 
72	80.1	568.5143	 	68.63369	402.5909	 
73	79.734924	570.73285	 	68.713875	402.63873	 
74	79.40408	573.24084	 	68.1911	402.31152	 
75	79.13843	576.05164	 	68.8369	402.79413	 
76	78.83195	579.195	 	70.77513	403.29895	 
77	78.40776	582.7725	 	70.58947	403.22104	 
78	78.18465	586.58093	 	70.566666	403.48462	 
79	77.83546	590.63586	 	70.969696	403.6111	 
80	77.48526	594.95685	 	69.82796	403.5645	 
81	77.07325	599.6274	 	71.3593	404.09296	 
82	76.767784	604.6653	 	68.94211	403.23157	 
83	76.57371	610.3964	 	71.18528	404.01776	 
84	76.199	614.02673	 	68.402176	402.91306	 
85	76.07116	609.7448	 	69.70968	403.3387	 
86	75.80326	607.6804	 	69.85384	403.54102	 
87	75.6543	605.4707	 	68.81658	403.098	 
88	75.26529	603.9852	 	69.4375	403.375	 
89	74.97358	602.6135	 	69.46277	403.3883	 
90	74.730156	601.5734	 	69.92347	403.40817	 
91	74.56903	600.9063	 	70.28283	403.5808	 
92	74.33633	600.6577	 	68.67614	403.11932	 
93	74.06972	600.64545	 	69.63369	403.50534	 
94	73.68861	601.0363	 	69.60929	403.61475	 
95	73.64342	601.4745	 	70.333336	403.9479	 
96	73.22102	602.36444	 	70.044044	403.8316	 
97	72.948	603.328	 	69.76701	403.62564	 
98	72.73392	604.6754	 	70.54	404.035	 
99	72.5932	606.58154	 	70.49454	404.01367	 
100	72.35029	608.62476	 	70.657364	403.70813	 
101	72.08131	611.12616	 	70.78061	403.98468	 
102	71.6082	614.49835	 	68.88172	403.53763	 
103	71.10672	613.9168	 	69.55789	403.7421	 
104	70.55042	613.39746	 	69.79293	403.9899	 
105	70.01282	613.2111	 	70.418785	404.11423	 
106	69.352844	613.67224	 	69.24074	403.9868	 
107	68.74664	614.16943	 	67.63636	403.36932	 
108	68.24587	614.9175	 	69.98691	404.4267	 
109	67.818184	615.1396	 	70.96	404.88	 
110	67.37273	614.49835	 	67.67714	403.56857	 
111	66.94646	614.528	 	69.879486	404.5359	 
112	66.47742	614.8742	 	71.471016	405.1715	 
113	66.10196	614.9258	 	70.56	405.14	 
114	65.676186	614.92413	 	69.74084	404.73038	 
