Frame	X1	Y1	Flag1	X2	Y2	Flag2
Tracks 1 to 2
127	204.2066	588.4682	 	166.32985	30.434328	 
128	204.31235	596.5716	 	166.50562	30.52809	 
129	204.79095	605.0452	 	166.08989	30.544945	 
130	204.93956	614.6868	 	166.43665	30.71763	 
131	205.25638	616.47644	 	166.23122	30.647398	 
132	205.38754	612.09235	 	166.59215	30.836044	 
133	205.607	607.8107	 	164.35973	24.002262	 
134	205.65222	603.8235	 	166.03409	30.457386	*
135	205.776	600.3323	 	166.44783	30.972464	 
136	205.95992	597.0717	 	166.0483	30.477272	 
137	206.21428	593.8929	 	165.97368	30.216373	 
138	206.39684	591.3042	 	166.99716	30.451704	 
139	206.6134	589.06085	 	166.59804	30.2507	 
140	206.78838	587.18256	 	166.9169	30.683098	 
141	206.99173	585.7087	 	166.03644	30.27551	 
142	207.03015	584.3233	 	165.81177	30.264706	 
143	207.22371	583.2299	 	166.40422	30.421127	 
144	207.38017	582.6405	 	165.91061	30.251396	 
145	207.56735	582.19794	 	166.0788	30.33381	 
146	207.61728	581.9815	 	166.64795	30.406849	 
147	207.80185	582.0072	 	166.23639	30.313753	 
148	207.91803	582.39343	 	166.34091	30.170454	 
149	208.10246	583.1004	 	166.55322	30.480392	 
150	208.19792	584.125	 	166.4386	30.251463	 
151	208.40416	585.31665	 	166.72514	30.564327	 
152	208.54124	587.0134	 	166.69328	30.435574	 
153	208.64345	588.86383	 	165.38922	29.772455	 
154	208.65495	590.9938	 	166.62035	30.626074	 
155	208.80309	593.6918	 	166.27011	30.640804	 
156	208.93933	596.4017	 	165.94868	30.244867	 
157	209.01428	599.5653	 	166.0	30.38	 
158	209.1433	602.96185	 	166.41713	30.756907	 
159	209.2556	606.9114	 	166.1973	30.394594	 
160	209.28107	611.15283	 	166.47159	30.642046	 
161	209.32239	615.5946	 	165.92899	30.221739	 
162	209.6463	621.40356	 	166.46307	30.525568	 
163	209.70583	618.4217	 	165.73596	29.820225	 
164	209.92911	616.36005	 	166.25	30.244318	 
165	209.90565	614.834	 	165.46407	29.610779	 
166	210.1229	613.62756	 	166.14388	30.306269	 
167	210.23724	612.62854	 	165.61954	29.937317	 
168	210.44019	611.9617	 	165.60481	29.83711	 
169	210.61954	611.50946	 	165.60495	30.07726	 
170	210.74953	611.5019	 	165.62428	29.945087	 
171	210.78786	611.7991	 	165.29771	29.742165	 
172	210.78464	612.4045	 	165.56764	29.920588	 
173	210.98204	613.34875	 	164.95401	29.416914	 
174	211.07408	614.45	 	165.0698	29.363247	 
175	211.13168	615.9567	 	165.26	29.797142	 
176	211.26839	617.78674	 	165.02925	29.655989	 
177	211.61382	621.66095	 	165.54034	30.085014	 
178	211.7028	622.59204	 	165.79858	29.89155	 
179	211.88898	621.8843	 	165.79178	29.992918	 
180	211.94267	621.52386	 	166.1647	30.144117	 
181	212.14696	621.5751	 	166.2905	30.276537	 
182	212.18239	621.8695	 	166.06583	30.14986	 
183	212.27551	622.6397	 	165.45714	29.891428	 
184	212.38545	623.3777	 	165.0927	29.744383	 
185	212.45503	623.2473	 	165.35387	29.852436	 
186	212.49693	623.39874	 	165.27066	29.74	 
187	212.5832	623.4661	 	164.70845	29.378874	 
188	212.75499	623.6198	 	165.04813	29.721926	 
189	212.77385	623.6523	 	165.24857	29.56	 
190	212.98694	623.5307	 	165.82884	29.993261	 
191	213.17938	623.64197	 	164.79834	29.46685	 
192	213.3211	623.56726	 	165.09505	29.458677	 
193	213.35867	623.5077	 	165.31564	29.435755	 
194	213.4145	623.75037	 	165.38081	29.543604	 
195	213.45546	623.79956	 	165.21312	29.713116	 
196	213.52164	623.8261	 	161.83333	26.658577	 
197	213.58755	623.97003	 	164.50581	28.92442	 
198	213.59785	623.90826	 	164.95454	29.34375	 
199	213.70885	624.0076	 	161.7215	26.519545	 
200	213.84894	624.1405	 	165.28532	30.0625	 
201	213.94849	624.13336	 	160.99673	26.235294	 
202	214.12462	624.0471	 	165.53107	30.403955	 
203	214.27266	624.0745	 	164.74225	29.714085	 
204	214.24844	623.98914	 	165.40178	30.029762	 
205	214.35867	624.033	 	164.74059	29.436232	 
206	214.47699	624.09814	 	164.99416	29.564327	 
207	214.52611	624.1436	 	165.20056	29.559322	 
208	214.61462	624.3748	 	164.62784	29.460228	 
209	214.57132	624.4484	 	161.63057	26.646498	 
210	214.61044	624.4788	 	164.15074	29.28209	 
211	214.73982	624.56635	 	164.16856	29.04857	 
212	214.79893	624.6927	 	160.02702	25.699324	 
213	214.7949	624.64374	 	164.8	29.262857	 
214	214.87195	624.6951	 	164.12099	29.024782	 
215	214.95277	624.6844	 	164.03314	28.963978	 
216	215.00304	624.81213	 	164.30571	28.985714	 
217	215.01874	624.7069	 	164.22113	29.052113	 
218	215.05336	624.70734	 	164.21602	28.874622	 
219	215.12895	624.72473	 	164.53207	29.059767	 
220	215.26443	624.845	 	163.92647	28.65294	 
221	215.29185	624.87555	 	164.07428	29.034286	 
222	215.36877	624.99927	 	164.62	29.245714	 
223	215.39291	625.14703	 	164.11879	29.207182	 
224	215.51208	625.19183	 	164.26488	29.177053	 
225	215.50757	625.2882	 	164.54335	29.208092	 
226	215.50905	625.2602	 	164.35507	29.091305	 
227	215.59567	625.45966	 	164.0625	28.988636	 
228	215.66342	625.38306	 	164.84822	29.678572	 
229	215.84225	625.5774	 	164.22021	29.13435	 
230	215.76646	625.5075	 	164.33195	29.235537	 
231	215.8432	625.49115	 	164.00276	29.259668	 
232	215.92708	625.43304	 	164.275	29.097221	 
233	215.93155	625.53125	 	164.15797	28.786957	 
234	215.96428	625.54614	 	164.3901	29.173077	 
235	216.0082	625.6624	 	164.20538	29.029745	 
236	216.01852	625.78	 	163.87784	28.65909	 
237	216.1092	625.8848	 	164.37209	29.0	 
238	216.04005	625.8991	 	160.55763	25.367796	 
239	216.05817	626.14655	 	164.35207	29.014793	 
240	216.09282	626.02997	 	163.46364	28.130302	 
241	216.21072	626.1857	 	164.20486	28.689112	 
242	216.26637	626.2202	 	163.8631	28.306547	 
243	216.28824	626.1971	 	164.22934	28.517094	 
244	216.35924	626.37976	 	163.92183	28.376106	 
245	216.35014	626.24036	 	164.05952	28.354166	 
246	216.43787	626.32544	 	163.92308	28.423077	 
247	216.46205	626.46497	 	164.05586	28.670391	 
248	216.37134	626.481	 	163.89766	28.128654	 
249	216.43787	626.4068	 	163.23055	28.128742	 
250	216.42398	626.6316	 	163.39473	28.324562	 
251	216.49413	626.547	 	163.65523	28.297014	 
252	216.46318	626.5663	 	163.74776	28.24627	 
253	216.52942	626.72205	 	163.93658	28.724188	 
254	216.41948	626.73425	 	160.23448	25.210344	 
255	216.51585	626.86743	 	164.00555	28.630556	 
256	216.45148	626.77795	 	160.35518	25.65862	 
257	216.54645	626.992	 	163.53003	28.22072	 
258	216.46965	626.9624	 	163.54776	28.23433	 
259	216.48842	626.9371	 	163.90233	28.336735	 
260	216.5	627.06976	 	163.74706	28.252941	 
261	216.51006	627.1825	 	163.77327	28.232733	 
262	216.45363	627.1609	 	163.43146	27.876947	 
263	216.46979	627.3691	 	163.47183	28.091549	 
